Piracicaba;-1;30;-1;-1;-1;-1;32;35;-1;-1;-1;-1;-1;-1;-1
Americana;30;-1;22;18;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Paulinia;-1;22;-1;-1;25;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Sumare;-1;18;-1;-1;23;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Campinas;-1;-1;25;23;-1;22;-1;-1;20;-1;-1;-1;-1;-1;-1
MonteMor;-1;-1;-1;-1;22;-1;15;-1;-1;-1;-1;-1;-1;-1;-1
Capivari;32;-1;-1;-1;-1;15;-1;30;-1;25;-1;-1;-1;-1;-1
Tiete;35;-1;-1;-1;-1;-1;30;-1;-1;-1;30;-1;25;-1;-1
Indaiatuba;-1;-1;-1;-1;20;-1;-1;-1;-1;20;-1;-1;-1;-1;-1
Salto;-1;-1;-1;-1;-1;-1;25;-1;20;-1;-1;10;-1;-1;-1
PortoFeliz;-1;-1;-1;-1;-1;-1;-1;30;-1;-1;-1;12;-1;12;-1
Itu;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;12;-1;-1;-1;8
Tatui;-1;-1;-1;-1;-1;-1;-1;25;-1;-1;-1;-1;-1;17;-1
Boituva;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12;-1;17;-1;23
Sorocaba;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;-1;23;-1
